subject	Order	n_safe	chose_risky
02	Risky first	5.0	0.5
02	Risky first	7.0	0.65625
02	Risky first	10.0	0.53125
02	Risky first	14.0	0.46875
02	Risky first	20.0	0.40625
02	Risky first	28.0	0.65625
02	Safe first	5.0	0.59375
02	Safe first	7.0	0.5625
02	Safe first	10.0	0.75
02	Safe first	14.0	0.65625
02	Safe first	20.0	0.78125
02	Safe first	28.0	0.59375
03	Risky first	5.0	0.4375
03	Risky first	7.0	0.34375
03	Risky first	10.0	0.375
03	Risky first	14.0	0.375
03	Risky first	20.0	0.3125
03	Risky first	28.0	0.3125
03	Safe first	5.0	0.1875
03	Safe first	7.0	0.15625
03	Safe first	10.0	0.09375
03	Safe first	14.0	0.15625
03	Safe first	20.0	0.28125
03	Safe first	28.0	0.15625
04	Risky first	5.0	0.40625
04	Risky first	7.0	0.6875
04	Risky first	10.0	0.625
04	Risky first	14.0	0.4375
04	Risky first	20.0	0.09375
04	Risky first	28.0	0.0625
04	Safe first	5.0	0.625
04	Safe first	7.0	0.65625
04	Safe first	10.0	0.75
04	Safe first	14.0	0.78125
04	Safe first	20.0	0.3125
04	Safe first	28.0	0.09375
05	Risky first	5.0	0.5625
05	Risky first	7.0	0.40625
05	Risky first	10.0	0.25
05	Risky first	14.0	0.28125
05	Risky first	20.0	0.1875
05	Risky first	28.0	0.15625
05	Safe first	5.0	0.3125
05	Safe first	7.0	0.46875
05	Safe first	10.0	0.3125
05	Safe first	14.0	0.3125
05	Safe first	20.0	0.375
05	Safe first	28.0	0.4375
06	Risky first	5.0	0.53125
06	Risky first	7.0	0.625
06	Risky first	10.0	0.375
06	Risky first	14.0	0.25
06	Risky first	20.0	0.3125
06	Risky first	28.0	0.21875
06	Safe first	5.0	0.34375
06	Safe first	7.0	0.65625
06	Safe first	10.0	0.75
06	Safe first	14.0	0.59375
06	Safe first	20.0	0.53125
06	Safe first	28.0	0.5
07	Risky first	5.0	0.78125
07	Risky first	7.0	0.5625
07	Risky first	10.0	0.28125
07	Risky first	14.0	0.3125
07	Risky first	20.0	0.09375
07	Risky first	28.0	0.03125
07	Safe first	5.0	0.625
07	Safe first	7.0	0.21875
07	Safe first	10.0	0.15625
07	Safe first	14.0	0.1875
07	Safe first	20.0	0.125
07	Safe first	28.0	0.125
08	Risky first	5.0	0.71875
08	Risky first	7.0	0.25
08	Risky first	10.0	0.40625
08	Risky first	14.0	0.3125
08	Risky first	20.0	0.375
08	Risky first	28.0	0.25
08	Safe first	5.0	0.4375
08	Safe first	7.0	0.40625
08	Safe first	10.0	0.59375
08	Safe first	14.0	0.46875
08	Safe first	20.0	0.3125
08	Safe first	28.0	0.34375
09	Risky first	5.0	0.625
09	Risky first	7.0	0.71875
09	Risky first	10.0	0.65625
09	Risky first	14.0	0.53125
09	Risky first	20.0	0.53125
09	Risky first	28.0	0.6875
09	Safe first	5.0	0.75
09	Safe first	7.0	0.59375
09	Safe first	10.0	0.71875
09	Safe first	14.0	0.8125
09	Safe first	20.0	0.71875
09	Safe first	28.0	0.8125
10	Risky first	5.0	0.71875
10	Risky first	7.0	0.53125
10	Risky first	10.0	0.3125
10	Risky first	14.0	0.34375
10	Risky first	20.0	0.3125
10	Risky first	28.0	0.21875
10	Safe first	5.0	0.5625
10	Safe first	7.0	0.59375
10	Safe first	10.0	0.71875
10	Safe first	14.0	0.53125
10	Safe first	20.0	0.53125
10	Safe first	28.0	0.5625
11	Risky first	5.0	0.8125
11	Risky first	7.0	0.78125
11	Risky first	10.0	0.40625
11	Risky first	14.0	0.25
11	Risky first	20.0	0.15625
11	Risky first	28.0	0.0625
11	Safe first	5.0	0.71875
11	Safe first	7.0	0.5625
11	Safe first	10.0	0.4375
11	Safe first	14.0	0.3125
11	Safe first	20.0	0.375
11	Safe first	28.0	0.28125
12	Risky first	5.0	0.34375
12	Risky first	7.0	0.40625
12	Risky first	10.0	0.5
12	Risky first	14.0	0.46875
12	Risky first	20.0	0.375
12	Risky first	28.0	0.34375
12	Safe first	5.0	0.5
12	Safe first	7.0	0.46875
12	Safe first	10.0	0.53125
12	Safe first	14.0	0.65625
12	Safe first	20.0	0.6875
12	Safe first	28.0	0.71875
13	Risky first	5.0	0.875
13	Risky first	7.0	0.65625
13	Risky first	10.0	0.625
13	Risky first	14.0	0.40625
13	Risky first	20.0	0.3125
13	Risky first	28.0	0.09375
13	Safe first	5.0	0.71875
13	Safe first	7.0	0.90625
13	Safe first	10.0	0.84375
13	Safe first	14.0	0.6875
13	Safe first	20.0	0.375
13	Safe first	28.0	0.15625
14	Risky first	5.0	0.84375
14	Risky first	7.0	0.84375
14	Risky first	10.0	0.75
14	Risky first	14.0	0.65625
14	Risky first	20.0	0.5
14	Risky first	28.0	0.625
14	Safe first	5.0	0.78125
14	Safe first	7.0	0.75
14	Safe first	10.0	0.78125
14	Safe first	14.0	0.78125
14	Safe first	20.0	0.6875
14	Safe first	28.0	0.4375
15	Risky first	5.0	0.625
15	Risky first	7.0	0.71875
15	Risky first	10.0	0.4375
15	Risky first	14.0	0.4375
15	Risky first	20.0	0.65625
15	Risky first	28.0	0.6875
15	Safe first	5.0	0.4375
15	Safe first	7.0	0.5
15	Safe first	10.0	0.4375
15	Safe first	14.0	0.53125
15	Safe first	20.0	0.53125
15	Safe first	28.0	0.5
16	Risky first	5.0	0.78125
16	Risky first	7.0	0.53125
16	Risky first	10.0	0.53125
16	Risky first	14.0	0.34375
16	Risky first	20.0	0.125
16	Risky first	28.0	0.09375
16	Safe first	5.0	0.53125
16	Safe first	7.0	0.46875
16	Safe first	10.0	0.46875
16	Safe first	14.0	0.5
16	Safe first	20.0	0.625
16	Safe first	28.0	0.625
17	Risky first	5.0	0.34375
17	Risky first	7.0	0.5
17	Risky first	10.0	0.5625
17	Risky first	14.0	0.6875
17	Risky first	20.0	0.59375
17	Risky first	28.0	0.78125
17	Safe first	5.0	0.3125
17	Safe first	7.0	0.46875
17	Safe first	10.0	0.53125
17	Safe first	14.0	0.78125
17	Safe first	20.0	0.875
17	Safe first	28.0	0.75
18	Risky first	5.0	0.5625
18	Risky first	7.0	0.5
18	Risky first	10.0	0.40625
18	Risky first	14.0	0.40625
18	Risky first	20.0	0.3125
18	Risky first	28.0	0.25
18	Safe first	5.0	0.625
18	Safe first	7.0	0.46875
18	Safe first	10.0	0.71875
18	Safe first	14.0	0.875
18	Safe first	20.0	0.6875
18	Safe first	28.0	0.875
19	Risky first	5.0	1.0
19	Risky first	7.0	0.84375
19	Risky first	10.0	0.53125
19	Risky first	14.0	0.375
19	Risky first	20.0	0.375
19	Risky first	28.0	0.25
19	Safe first	5.0	0.84375
19	Safe first	7.0	0.78125
19	Safe first	10.0	0.78125
19	Safe first	14.0	0.875
19	Safe first	20.0	0.59375
19	Safe first	28.0	0.59375
20	Risky first	5.0	0.6875
20	Risky first	7.0	0.65625
20	Risky first	10.0	0.21875
20	Risky first	14.0	0.15625
20	Risky first	20.0	0.21875
20	Risky first	28.0	0.03125
20	Safe first	5.0	0.5
20	Safe first	7.0	0.53125
20	Safe first	10.0	0.59375
20	Safe first	14.0	0.4375
20	Safe first	20.0	0.25
20	Safe first	28.0	0.09375
21	Risky first	5.0	0.3125
21	Risky first	7.0	0.34375
21	Risky first	10.0	0.21875
21	Risky first	14.0	0.09375
21	Risky first	20.0	0.09375
21	Risky first	28.0	0.125
21	Safe first	5.0	0.59375
21	Safe first	7.0	0.46875
21	Safe first	10.0	0.3125
21	Safe first	14.0	0.21875
21	Safe first	20.0	0.25
21	Safe first	28.0	0.15625
22	Risky first	5.0	0.65625
22	Risky first	7.0	0.5625
22	Risky first	10.0	0.46875
22	Risky first	14.0	0.46875
22	Risky first	20.0	0.3125
22	Risky first	28.0	0.25
22	Safe first	5.0	0.34375
22	Safe first	7.0	0.34375
22	Safe first	10.0	0.46875
22	Safe first	14.0	0.71875
22	Safe first	20.0	0.6875
22	Safe first	28.0	0.71875
23	Risky first	5.0	0.53125
23	Risky first	7.0	0.6875
23	Risky first	10.0	0.53125
23	Risky first	14.0	0.65625
23	Risky first	20.0	0.65625
23	Risky first	28.0	0.65625
23	Safe first	5.0	0.25
23	Safe first	7.0	0.375
23	Safe first	10.0	0.6875
23	Safe first	14.0	0.75
23	Safe first	20.0	0.71875
23	Safe first	28.0	0.8125
25	Risky first	5.0	0.78125
25	Risky first	7.0	0.8125
25	Risky first	10.0	0.59375
25	Risky first	14.0	0.625
25	Risky first	20.0	0.5625
25	Risky first	28.0	0.6875
25	Safe first	5.0	0.46875
25	Safe first	7.0	0.53125
25	Safe first	10.0	0.625
25	Safe first	14.0	0.46875
25	Safe first	20.0	0.40625
25	Safe first	28.0	0.46875
26	Risky first	5.0	0.71875
26	Risky first	7.0	0.625
26	Risky first	10.0	0.5
26	Risky first	14.0	0.65625
26	Risky first	20.0	0.625
26	Risky first	28.0	0.40625
26	Safe first	5.0	0.8125
26	Safe first	7.0	0.75
26	Safe first	10.0	0.625
26	Safe first	14.0	0.65625
26	Safe first	20.0	0.5
26	Safe first	28.0	0.5
27	Risky first	5.0	0.59375
