bin(n_safe)	risky_first	bin(risky/safe)	chose_risky	pred_mean	hdi_lower	hdi_upper	model_label
Small	False	0	0.15326633165829145	0.2765075376884422	0.23115577889447236	0.314070351758794	52
Small	False	1	0.3609022556390977	0.4192230576441103	0.3684210526315789	0.4699248120300752	52
Small	False	2	0.4166666666666667	0.48386111111111113	0.4166666666666667	0.5375	52
Small	False	3	0.5874125874125874	0.6008974358974359	0.5454545454545454	0.6433566433566433	52
Small	False	4	0.7205882352941176	0.6795220588235293	0.625	0.7279411764705882	52
Small	False	5	0.7478991596638656	0.759859943977591	0.7100840336134454	0.8151260504201681	52
Small	False	6	0.8454545454545455	0.8086818181818182	0.7681818181818182	0.8590909090909091	52
Small	True	0	0.3065326633165829	0.2748492462311558	0.228643216080402	0.31909547738693467	52
Small	True	1	0.46616541353383456	0.4157769423558897	0.3533834586466165	0.4699248120300752	52
Small	True	2	0.5333333333333333	0.48493055555555553	0.43333333333333335	0.5416666666666666	52
Small	True	3	0.6643356643356644	0.5972494172494173	0.541958041958042	0.6503496503496503	52
Small	True	4	0.7463235294117647	0.6770588235294118	0.6286764705882353	0.7242647058823529	52
Small	True	5	0.8109243697478992	0.7602521008403361	0.7058823529411765	0.8109243697478992	52
Small	True	6	0.8090909090909091	0.8072727272727273	0.75	0.8454545454545455	52
Medium	False	0	0.2652439024390244	0.22101626016260165	0.1798780487804878	0.25914634146341464	52
Medium	False	1	0.44776119402985076	0.32395522388059705	0.2798507462686567	0.373134328358209	52
Medium	False	2	0.51953125	0.4090625	0.3515625	0.46875	52
Medium	False	3	0.5652173913043478	0.5044202898550725	0.4492753623188406	0.5507246376811594	52
Medium	False	4	0.6778523489932886	0.5985123042505592	0.5436241610738255	0.6442953020134228	52
Medium	False	5	0.7611940298507462	0.6744776119402985	0.6305970149253731	0.7201492537313433	52
Medium	False	6	0.7787610619469026	0.7416519174041298	0.6946902654867256	0.7920353982300885	52
Medium	True	0	0.1798780487804878	0.21981707317073174	0.1798780487804878	0.2652439024390244	52
Medium	True	1	0.25	0.3221641791044776	0.27611940298507465	0.376865671641791	52
Medium	True	2	0.359375	0.40920572916666664	0.359375	0.4765625	52
Medium	True	3	0.4384057971014493	0.5081642512077295	0.4492753623188406	0.5579710144927537	52
Medium	True	4	0.5268456375838926	0.5977852348993289	0.540268456375839	0.6409395973154363	52
Medium	True	5	0.5895522388059702	0.6754228855721393	0.6194029850746269	0.7238805970149254	52
Medium	True	6	0.6769911504424779	0.7380530973451328	0.6946902654867256	0.7876106194690266	52
Large	False	0	0.29044117647058826	0.19317401960784314	0.15073529411764705	0.23529411764705882	52
Large	False	1	0.34615384615384615	0.2599300699300699	0.1993006993006993	0.2972027972027972	52
Large	False	2	0.42028985507246375	0.34092995169082124	0.2898550724637681	0.38405797101449274	52
Large	False	3	0.5551470588235294	0.4336764705882353	0.3897058823529412	0.47794117647058826	52
Large	False	4	0.5962962962962963	0.5141604938271604	0.4703703703703704	0.5814814814814815	52
Large	False	5	0.6267123287671232	0.575068493150685	0.5308219178082192	0.6267123287671232	52
Large	False	6	0.6666666666666666	0.6206216931216931	0.5714285714285714	0.6706349206349206	52
Large	True	0	0.12867647058823528	0.19143382352941177	0.15073529411764705	0.23529411764705882	52
Large	True	1	0.20279720279720279	0.2572261072261072	0.21328671328671328	0.3006993006993007	52
Large	True	2	0.25	0.34179951690821253	0.2898550724637681	0.39492753623188404	52
Large	True	3	0.29411764705882354	0.43216911764705884	0.375	0.48161764705882354	52
Large	True	4	0.43703703703703706	0.5147407407407407	0.46296296296296297	0.5666666666666667	52
Large	True	5	0.5	0.5779223744292238	0.5308219178082192	0.6301369863013698	52
Large	True	6	0.5436507936507936	0.6188492063492064	0.5555555555555556	0.6587301587301587	52
