bin(n_safe)	risky_first	bin(risky/safe)	chose_risky	pred_mean	hdi_lower	hdi_upper	model_label
Small	False	0	0.15326633165829145	0.3468174204355109	0.2964824120603015	0.39195979899497485	eu
Small	False	1	0.3609022556390977	0.37820802005012527	0.3308270676691729	0.45112781954887216	eu
Small	False	2	0.4166666666666667	0.4144305555555556	0.36666666666666664	0.475	eu
Small	False	3	0.5874125874125874	0.45284382284382285	0.40559440559440557	0.506993006993007	eu
Small	False	4	0.7205882352941176	0.48762254901960783	0.4338235294117647	0.5441176470588235	eu
Small	False	5	0.7478991596638656	0.5414005602240896	0.4831932773109244	0.6008403361344538	eu
Small	False	6	0.8454545454545455	0.5857272727272728	0.5272727272727272	0.65	eu
Small	True	0	0.3065326633165829	0.3442797319932998	0.2989949748743719	0.39195979899497485	eu
Small	True	1	0.46616541353383456	0.37545112781954887	0.31954887218045114	0.424812030075188	eu
Small	True	2	0.5333333333333333	0.41756944444444444	0.3541666666666667	0.4708333333333333	eu
Small	True	3	0.6643356643356644	0.45050116550116553	0.3951048951048951	0.5104895104895105	eu
Small	True	4	0.7463235294117647	0.49017156862745104	0.4338235294117647	0.5404411764705882	eu
Small	True	5	0.8109243697478992	0.5378711484593837	0.4831932773109244	0.592436974789916	eu
Small	True	6	0.8090909090909091	0.5903333333333333	0.5272727272727272	0.65	eu
Medium	False	0	0.2652439024390244	0.27356707317073176	0.23170731707317074	0.3231707317073171	eu
Medium	False	1	0.44776119402985076	0.323681592039801	0.26865671641791045	0.376865671641791	eu
Medium	False	2	0.51953125	0.3819921875	0.328125	0.43359375	eu
Medium	False	3	0.5652173913043478	0.4466545893719806	0.391304347826087	0.5	eu
Medium	False	4	0.6778523489932886	0.5104250559284117	0.44966442953020136	0.5570469798657718	eu
Medium	False	5	0.7611940298507462	0.5815049751243782	0.5223880597014925	0.6268656716417911	eu
Medium	False	6	0.7787610619469026	0.6543362831858407	0.6017699115044248	0.7123893805309734	eu
Medium	True	0	0.1798780487804878	0.27265243902439024	0.21951219512195122	0.3170731707317073	eu
Medium	True	1	0.25	0.32738805970149254	0.27238805970149255	0.3843283582089552	eu
Medium	True	2	0.359375	0.384609375	0.32421875	0.4375	eu
Medium	True	3	0.4384057971014493	0.4464975845410628	0.38768115942028986	0.4963768115942029	eu
Medium	True	4	0.5268456375838926	0.508076062639821	0.4429530201342282	0.5536912751677853	eu
Medium	True	5	0.5895522388059702	0.5830099502487562	0.5261194029850746	0.6417910447761194	eu
Medium	True	6	0.6769911504424779	0.6533480825958702	0.5929203539823009	0.7079646017699115	eu
Large	False	0	0.29044117647058826	0.17361519607843137	0.125	0.22058823529411764	eu
Large	False	1	0.34615384615384615	0.24685314685314685	0.1958041958041958	0.2902097902097902	eu
Large	False	2	0.42028985507246375	0.3396497584541063	0.2898550724637681	0.38768115942028986	eu
Large	False	3	0.5551470588235294	0.4444975490196078	0.4007352941176471	0.5036764705882353	eu
Large	False	4	0.5962962962962963	0.5519012345679012	0.5	0.6185185185185185	eu
Large	False	5	0.6267123287671232	0.6279680365296804	0.565068493150685	0.6746575342465754	eu
Large	False	6	0.6666666666666666	0.7088624338624339	0.6626984126984127	0.7579365079365079	eu
Large	True	0	0.12867647058823528	0.17254901960784313	0.125	0.21323529411764705	eu
Large	True	1	0.20279720279720279	0.24665501165501164	0.2062937062937063	0.3006993006993007	eu
Large	True	2	0.25	0.3392391304347826	0.27898550724637683	0.39492753623188404	eu
Large	True	3	0.29411764705882354	0.4448161764705882	0.3897058823529412	0.4963235294117647	eu
Large	True	4	0.43703703703703706	0.5548641975308641	0.4925925925925926	0.6	eu
Large	True	5	0.5	0.6270776255707763	0.5684931506849316	0.6712328767123288	eu
Large	True	6	0.5436507936507936	0.7061375661375662	0.6547619047619048	0.75	eu
