subject	session	Scanner	r_E_n1	r_sd_error
02	3t2	3T	0.2774804460518262	0.4742709170970699
02	7t2	7T	0.16787455068686058	0.33119978602975864
03	3t2	3T	0.15163214676067405	0.43481987066776673
03	7t2	7T	0.08655827324184628	0.11122845937841053
04	3t2	3T	0.17061342737990964	0.4626693861042088
04	7t2	7T	0.3415040825324952	0.5005614276870757
05	3t2	3T	0.012439266974523952	0.01957610777321043
05	7t2	7T	0.3149338398314248	0.2841599737021894
06	3t2	3T	0.1074853280055695	0.03131908047962564
06	7t2	7T	0.10424383106667151	0.21896739447195354
07	3t2	3T	0.31297128007849817	0.29901684907354886
07	7t2	7T	0.08079430810339117	0.23894871471012352
08	3t2	3T	0.24920187172606306	0.17760218777255452
08	7t2	7T	0.12851561460435282	0.3766462052120443
09	3t2	3T	0.2740068421789992	0.37486953008703544
09	7t2	7T	0.3270495504645847	0.3968193526747051
10	3t2	3T	0.11414040946784906	0.16035894909058807
10	7t2	7T	0.07633249018378782	0.3491127019377098
11	3t2	3T	0.2721538547340936	0.41878380853597447
11	7t2	7T	0.27389268989842963	0.3411395304378666
12	3t2	3T	0.1257040000196098	0.5120299338725105
12	7t2	7T	0.2981222034332268	0.39397844756252
13	3t2	3T	0.17490470021690852	0.2773817704669624
13	7t2	7T	0.05884576232085074	0.23669980657600975
14	3t2	3T	0.1799038322080107	0.6187920230754065
14	7t2	7T	0.12838741610323273	0.48512605022613264
15	3t2	3T	0.23379172670830456	0.2625324777948501
15	7t2	7T	0.14923032043219753	0.38959897967957957
16	3t2	3T	0.13569539754766685	0.3462578964857983
16	7t2	7T	0.20970337949792817	0.41256232366990797
17	3t2	3T	0.4049991614141989	0.6729001840308639
17	7t2	7T	0.34108147903725283	0.5903744102285025
18	3t2	3T	0.21117540925603098	0.460002816206298
18	7t2	7T	0.04908614819520429	0.4421610169300414
19	3t2	3T	0.23742964516130022	0.20264720394142954
19	7t2	7T	0.05753041142069055	0.40890547731610977
20	3t2	3T	0.03390443481539374	0.1535019339115581
20	7t2	7T	0.02123732520043633	0.24291163550353015
21	3t2	3T	0.22601628402383442	0.14735879580199746
21	7t2	7T	0.02768314702221694	0.3312123286989671
22	3t2	3T	0.3105255426969962	0.469332001561334
22	7t2	7T	0.2565946670783513	0.44363979504299855
23	3t2	3T	0.0161353468102542	0.4663169659928158
23	7t2	7T	0.16453024252029774	0.563171844114316
25	3t2	3T	0.2606145862476952	0.2988253768586592
25	7t2	7T	0.2026812495197396	0.44159267111084094
26	3t2	3T	0.21338908136768847	0.47681108174148906
26	7t2	7T	0.2161866442841763	0.5046644637413158
27	3t2	3T	0.06067652702811534	0.09793022657632938
27	7t2	7T	0.017322279476854538	0.3621525500987619
28	3t2	3T	0.24977950769257065	0.4823452294358209
28	7t2	7T	0.1760108657212855	0.5194304735144002
29	3t2	3T	-0.03941371482617581	0.43018661867269337
29	7t2	7T	-0.06164554100517346	0.42450555459158484
30	3t2	3T	-0.12498313992321194	0.2678552586787022
30	7t2	7T	0.14133014684865458	0.27514632035217146
31	3t2	3T	0.47228037929377	0.5565116521559725
31	7t2	7T	0.26578801247587247	0.2938560657086249
32	3t2	3T	-0.053900937367429784	-0.082740705697771
32	7t2	7T	0.32368961282954956	0.45502079416980545
